Runner Jul  1 2013 11:24:59
Bernhard Manfred Gruber
Duration: 1min 4s 772ms


Matrix multiplication (Tiles, AMD);GPU CL
size;init time;upload time mean ;upload time deviation;run time mean;run time deviation;download time mean;download time deviation;cleanup time;wg size;up run down sum;result
1;0.000579;0.001159;0.000658;0.000073;0.000040;0.000184;0.000046;0.000012;32;0.001417;SUCCESS
25;0.000426;0.000795;0.000216;0.000127;0.000114;0.000118;0.000002;0.000009;32;0.001041;SUCCESS
50;0.000372;0.000662;0.000022;0.000054;0.000001;0.000120;0.000001;0.000009;32;0.000837;SUCCESS
75;0.000366;0.000711;0.000091;0.000088;0.000019;0.000134;0.000031;0.000009;32;0.000934;SUCCESS
100;0.000358;0.000528;0.000005;0.000092;0.000014;0.000139;0.000019;0.000009;32;0.000758;SUCCESS
200;0.000356;0.000566;0.000027;0.000384;0.000009;0.000177;0.000049;0.000009;32;0.001127;SUCCESS
300;0.000362;0.000643;0.000007;0.000787;0.000087;0.000258;0.000126;0.000009;32;0.001687;SUCCESS
400;0.000373;0.001041;0.000044;0.000902;0.000016;0.000324;0.000201;0.000009;32;0.002267;SUCCESS
500;0.000400;0.001051;0.000070;0.001238;0.000008;0.000330;0.000121;0.000009;32;0.002619;SUCCESS
600;0.000411;0.001325;0.000027;0.001729;0.000019;0.000631;0.000446;0.000011;32;0.003685;SUCCESS
700;0.000432;0.001576;0.000130;0.002837;0.000205;0.000888;0.000670;0.000011;32;0.005301;SUCCESS
800;0.000479;0.001825;0.000110;0.002862;0.000027;0.001085;0.000769;0.000012;32;0.005773;SUCCESS
900;0.000486;0.002102;0.000135;0.005545;0.000172;0.001351;0.000940;0.000012;32;0.008999;SUCCESS
1000;0.000485;0.002426;0.000114;0.006396;0.000063;0.001732;0.001337;0.000013;32;0.010553;SUCCESS
1100;0.000487;0.002713;0.000122;0.008441;0.000193;0.002052;0.001511;0.000014;32;0.013206;SUCCESS
1200;0.000507;0.003046;0.000252;0.009980;0.000021;0.002518;0.001947;0.000013;32;0.015544;SUCCESS
1300;0.000531;0.003574;0.000086;0.014131;0.000168;0.002983;0.002180;0.000013;32;0.020688;SUCCESS
1400;0.000526;0.003876;0.000192;0.016021;0.000064;0.003172;0.002365;0.000013;32;0.023069;SUCCESS
1500;0.000527;0.004500;0.000152;0.019742;0.000075;0.003762;0.002800;0.000013;32;0.028004;SUCCESS
1600;0.000520;0.004752;0.000152;0.018501;0.000067;0.004053;0.002971;0.000013;32;0.027307;SUCCESS
1700;0.000521;0.005571;0.000163;0.029437;0.000054;0.004833;0.003516;0.000013;32;0.039842;SUCCESS
1800;0.000525;0.005679;0.000113;0.035865;0.000049;0.005407;0.004131;0.000013;32;0.046951;SUCCESS
1900;0.000505;0.006150;0.000159;0.039038;0.000040;0.005614;0.004159;0.000012;32;0.050802;SUCCESS
2000;0.000526;0.006806;0.000473;0.038515;0.000058;0.006218;0.004596;0.000014;32;0.051538;SUCCESS
